No OMP
Network, states, time (ns), G states/s
passo_bool_3, 1000, 98032.00000000000000000000, 0.01020075077525705969
passo_bool_3, 10000, 253809.00000000000000000000, 0.03939970607819265336
passo_bool_3, 100000, 1846508.33333333325572311878, 0.05415626791105735555
passo_bool_3, 1000000, 17690484.33333333209156990051, 0.05652756482849640579
passo_bool_3, 10000000, 174651353.66666665673255920410, 0.05725692810309185310
passo_tlf_3passo_bool_5, 1000, 94500.66666666667151730508, 0.01058193592990525587
passo_tlf_3passo_bool_5, 10000, 226154.00000000000000000000, 0.04421765699479116019
passo_tlf_3passo_bool_5, 100000, 1482800.66666666674427688122, 0.06743994809821593495
passo_tlf_3passo_bool_5, 1000000, 36689334.00000000000000000000, 0.02725587768913984715
passo_tlf_3passo_bool_5, 10000000, 366087450.00000000000000000000, 0.02731587766802713244
passo_tlf_5, 1000, 96067.00000000000000000000, 0.01040940177168018198
passo_tlf_5, 10000, 261960.66666666665696538985, 0.03817366983847447770
passo_tlf_5, 100000, 1843341.33333333325572311878, 0.05424931248037983406
passo_tlf_5, 1000000, 17883917.00000000000000000000, 0.05591616199068694115
passo_tlf_5, 10000000, 383913664.66666668653488159180, 0.02604752297286033746
passo_bool_6, 1000, 131812.00000000000000000000, 0.00758656268018086371
passo_bool_6, 10000, 383570.33333333331393077970, 0.02607083794280232181
passo_bool_6, 100000, 2852060.00000000000000000000, 0.03506237596684502050
passo_bool_6, 1000000, 27784731.00000000000000000000, 0.03599099087912709799
passo_bool_6, 10000000, 275935310.33333331346511840820, 0.03624037818110293491
passo_tlf_6, 1000, 115918.66666666667151730508, 0.00862673828776498383
passo_tlf_6, 10000, 423365.33333333331393077970, 0.02362026177548783717
passo_tlf_6, 100000, 3644989.33333333348855376244, 0.02743492253475272868
passo_tlf_6, 1000000, 33844286.00000000000000000000, 0.02954708514163956537
passo_tlf_6, 10000000, 337955883.00000000000000000000, 0.02958966096767133222
passo_bool_7, 1000, 102258.00000000000000000000, 0.00977918598055897877
passo_bool_7, 10000, 510563.66666666668606922030, 0.01958619591027171980
passo_bool_7, 100000, 2208258.66666666651144623756, 0.04528454999836976219
passo_bool_7, 1000000, 42227293.66666666418313980103, 0.02368136608265234214
passo_bool_7, 10000000, 209500455.66666665673255920410, 0.04773259307803542212
passo_tlf_7passo_bool_8, 1000, 114948.33333333332848269492, 0.00869956067218605536
passo_tlf_7passo_bool_8, 10000, 422063.00000000000000000000, 0.02369314533612280546
passo_tlf_7passo_bool_8, 100000, 2669213.66666666651144623756, 0.03746421698974766734
passo_tlf_7passo_bool_8, 1000000, 41993490.66666666418313980103, 0.02381321447978064498
passo_tlf_7passo_bool_8, 10000000, 346915730.66666668653488159180, 0.02882544409497671614
passo_tlf_8, 1000, 101070.66666666667151730508, 0.00989406751711673603
passo_tlf_8, 10000, 256671.66666666665696538985, 0.03896027999454556440
passo_tlf_8, 100000, 1857539.33333333325572311878, 0.05383466083625326748
passo_tlf_8, 1000000, 17957764.33333333209156990051, 0.05568621914387153482
passo_tlf_8, 10000000, 420204841.66666668653488159180, 0.02379791713093262762
passo_bool_9, 1000, 104718.66666666667151730508, 0.00954939584155642396
passo_bool_9, 10000, 263978.66666666668606922030, 0.03788184903830612432
passo_bool_9, 100000, 1977281.33333333325572311878, 0.05057449251868390699
passo_bool_9, 1000000, 17895839.33333333209156990051, 0.05587891025247247040
passo_bool_9, 10000000, 177160325.33333334326744079590, 0.05644604671607286045
passo_tlf_9, 1000, 123880.00000000000000000000, 0.00807232805941233457
passo_tlf_9, 10000, 261595.00000000000000000000, 0.03822703033314856641
passo_tlf_9, 100000, 1893822.33333333325572311878, 0.05280326366412055328
passo_tlf_9, 1000000, 18163199.00000000000000000000, 0.05505638076200122799
passo_tlf_9, 10000000, 180930966.00000000000000000000, 0.05526969883087895496
(null), 1000, 93698.66666666667151730508, 0.01067251045906024952
(null), 10000, 465890.33333333331393077970, 0.02146427878950053422
(null), 100000, 1285463.33333333325572311878, 0.07779296181143505184
(null), 1000000, 32618930.00000000000000000000, 0.03065704485095004789
(null), 10000000, 117672330.33333332836627960205, 0.08498174525542880053
(null), 1000, 93522.00000000000000000000, 0.01069267124312995795
(null), 10000, 202763.00000000000000000000, 0.04931866267514289914
(null), 100000, 3713465.66666666651144623756, 0.02692902236787432513
(null), 1000000, 13163926.33333333395421504974, 0.07596517746136480231
(null), 10000000, 357266841.33333331346511840820, 0.02799028301277449449
